# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
2018-11-04T10:00:49.066+0100;-2569.41;-16738.18;600550000.00
2018-11-05T10:01:49.059+0100;-2569.88;-16741.23;600550000.00
2018-11-05T22:02:48.963+0100;-2575.64;-16778.74;600550000.00
2018-11-06T10:02:49.121+0100;-2573.56;-16765.21;600550000.00
2018-11-07T10:03:49.099+0100;-2567.66;-16726.75;600550000.00
2018-11-07T22:04:48.965+0100;-2573.14;-16762.47;600550000.00
2018-11-08T22:05:48.966+0100;-2574.48;-16771.16;600550000.00
2018-11-09T10:05:49.061+0100;-2570.97;-16748.33;600550000.00
2018-11-10T10:07:48.959+0100;-2570.25;-16743.65;600550000.00
2018-11-10T22:08:48.961+0100;-2576.08;-16781.60;600550000.00
2018-11-11T10:09:48.959+0100;-2573.54;-16765.04;600550000.00
2018-11-11T22:10:48.969+0100;-2575.86;-16780.15;600550000.00
2018-11-13T01:48:10.095+0100;-2575.73;-16779.36;600550000.00
2018-11-14T01:49:10.088+0100;-2575.73;-16779.36;600550000.00
2018-11-19T08:46:10.489+0100;-2563.28;-16698.23;600550000.00
2018-11-20T08:46:51.415+0100;-2561.71;-16688.00;600550000.00
2018-11-20T20:47:51.325+0100;-2586.76;-16851.22;600550000.00
2018-11-21T20:48:51.326+0100;-2585.03;-16839.95;600550000.00
2018-11-22T08:48:51.420+0100;-2580.34;-16809.39;600550000.00
2018-11-22T20:49:51.318+0100;-2584.39;-16835.75;600550000.00
2018-11-23T20:50:51.334+0100;-2587.09;-16853.32;600550000.00
2018-11-24T20:52:51.329+0100;-2586.06;-16846.62;600550000.00
2018-11-25T20:54:51.332+0100;-2587.83;-16858.15;600550000.00
2018-11-26T21:32:17.128+0100;-2581.79;-16818.79;600550000.00
2018-11-29T09:45:09.940+0100;-2580.25;-16808.77;600550000.00
2018-11-30T20:51:25.640+0100;-2584.58;-16836.97;600550000.00
2018-12-01T20:52:25.641+0100;-2584.52;-16836.63;600550000.00
